personName;finalWorth;country;source;category;selfMade;rank;age;gender;title;
Stefan Olsson;1500.00.00;United Kingdom;Diversified;Diversified;FALSE;1905;74.00.00;M;;
Rubens Ometto Silveira Mello;1500.00.00;Brazil;Sugar, ethanol;Energy;FALSE;1905;73.00.00;M;;
Anne Marie See Pastor;1500.00.00;;Finance;Finance & Investments;FALSE;1905;;F;;
George Pastor;1500.00.00;;Finance;Finance & Investments;FALSE;1905;;M;;
Nelson Peltz;1500.00.00;United States;Investments;Finance & Investments;TRUE;1905;80.00.00;M;Founder;
David Peñaloza Alanís;1500.00.00;Mexico;Toll roads;Construction & Engineering;FALSE;1905;49.00.00;M;;
Karl-Johan Persson;1500.00.00;Sweden;H&M;Fashion & Retail;FALSE;1905;48.00.00;M;;
Mike Repole;1500.00.00;United States;Sports drink;Food & Beverage;TRUE;1905;55.00.00;M;;
Duke Reyes;1500.00.00;United States;Beer distribution;Food & Beverage;FALSE;1905;66.00.00;M;;
Kishin RK;1500.00.00;Singapore;Real estate, hotels;Real Estate;FALSE;1905;39.00.00;M;;
Carlos Rodriguez-Pastor;1500.00.00;Peru;Finance;Finance & Investments;FALSE;1905;63.00.00;M;;
Christopher Rokos;1500.00.00;United Kingdom;Hedge fund;Finance & Investments;TRUE;1905;52.00.00;M;CEO & Founder ;
John Ruiz;1500.00.00;United States;Healthcare services;Service;TRUE;1905;56.00.00;M;;
Sheryl Sandberg;1500.00.00;United States;Facebook;Technology;TRUE;1905;53.00.00;F;COO;
Amnon Shashua;1500.00.00;Israel;Automotive technology;Automotive;TRUE;1905;62.00.00;M;;
Ben Silbermann;1500.00.00;United States;Social media;Media & Entertainment;TRUE;1905;40.00.00;M;Cofounder;
Ron Sim;1500.00.00;Singapore;retail;Fashion & Retail;TRUE;1905;64.00.00;M;;
Leonid Simanovsky;1500.00.00;Russia;Investments;Finance & Investments;TRUE;1905;73.00.00;M;;
Basudeo Singh;1500.00.00;India;Pharmaceuticals;Healthcare;TRUE;1905;82.00.00;M;;
Frank Slootman;1500.00.00;United States;Software;Technology;TRUE;1905;64.00.00;M;;
